,name,year,selling_price,km_driven,fuel,seller_type,transmission,owner,mileage,engine,max_power,seats,carAge,price_per_kilometer
56,Toyota Innova 2.5 G (Diesel) 7 Seater,2016,950000,99000,Diesel,Dealer,Manual,First Owner,12,2494,100,7,9,9.595959595959595
57,Audi A6 2.0 TDI Technology,2013,1750000,33900,Diesel,Dealer,Automatic,Second Owner,17,1968,174,5,12,51.62241887905605
58,Toyota Corolla Altis 1.8 VL CVT,2018,1590000,25000,Petrol,Dealer,Automatic,First Owner,14,1798,138,5,7,63.6
59,Audi A6 2.0 TDI  Design Edition,2013,1689999,50000,Diesel,Dealer,Automatic,First Owner,18,1968,187,5,12,33.79998
60,Mercedes-Benz New C-Class 220 CDI AT,2013,1425000,59000,Diesel,Dealer,Automatic,First Owner,14,2143,170,5,12,24.152542372881356
61,Tata Manza ELAN Quadrajet BS IV,2011,265000,120000,Diesel,Individual,Manual,First Owner,21,1248,88,5,14,2.2083333333333335
62,Hyundai i10 Magna,2011,190000,110000,Petrol,Individual,Manual,Third Owner,20,1197,78,5,14,1.7272727272727273
63,Hyundai i20 Asta 1.4 CRDi,2013,425000,60000,Diesel,Individual,Manual,First Owner,21,1396,88,5,12,7.083333333333333
64,Maruti Swift Dzire ZDI,2015,630000,147000,Diesel,Individual,Manual,Second Owner,26,1248,74,5,10,4.285714285714286
65,Ford Figo 1.2P Titanium MT,2017,600000,25000,Petrol,Individual,Manual,Third Owner,18,1196,86,5,8,24.0
66,Maruti Baleno Delta 1.2,2019,650000,30000,Petrol,Individual,Manual,First Owner,21,1197,83,5,6,21.666666666666668
67,Volkswagen Ameo 1.5 TDI Highline 16 Alloy,2016,540000,40000,Diesel,Individual,Manual,First Owner,22,1498,108,5,9,13.5
68,Honda City i DTEC VX,2015,630000,135000,Diesel,Individual,Manual,First Owner,25,1498,98,5,10,4.666666666666667
69,Maruti Wagon R AMT VXI,2018,448000,30000,Petrol,Individual,Automatic,First Owner,20,998,67,5,7,14.933333333333334
70,Volkswagen Ameo 1.5 TDI Comfortline,2017,500000,80000,Diesel,Individual,Manual,First Owner,21,1498,108,5,8,6.25
71,Maruti Vitara Brezza VDi,2016,745000,70000,Diesel,Individual,Manual,First Owner,24,1248,88,5,9,10.642857142857142
72,Maruti Vitara Brezza ZDi Plus AMT,2019,1025000,9850,Diesel,Individual,Automatic,First Owner,24,1248,88,5,6,104.06091370558376
73,Hyundai i10 Magna,2011,235000,60000,Petrol,Individual,Manual,Second Owner,20,1197,78,5,14,3.9166666666666665
74,Maruti Swift VDI Deca,2016,630000,70000,Diesel,Individual,Manual,First Owner,25,1248,74,5,9,9.0
75,Toyota Fortuner 4x4 MT,2015,1700000,78000,Diesel,Individual,Manual,Second Owner,12,2982,168,7,10,21.794871794871796
76,Maruti Swift Star VDI,2013,450000,120000,Diesel,Individual,Manual,Second Owner,22,1248,74,5,12,3.75
77,Maruti Ertiga ZXI,2012,450000,120000,Petrol,Individual,Manual,Second Owner,16,1373,93,7,13,3.75
78,Tata Indica DLS,2003,50000,70000,Diesel,Individual,Manual,First Owner,19,1430,87,5,22,0.7142857142857143
79,Volkswagen Vento Diesel Highline,2013,450000,170000,Diesel,Individual,Manual,First Owner,20,1598,103,5,12,2.6470588235294117
80,Toyota Innova 2.5 VX (Diesel) 8 Seater,2016,1200000,140000,Diesel,Individual,Manual,First Owner,12,2494,100,8,9,8.571428571428571
81,Ford EcoSport 1.5 TDCi Titanium Plus BSIV,2015,610000,90000,Diesel,Individual,Manual,First Owner,22,1498,98,5,10,6.777777777777778
82,BMW X1 sDrive20i xLine,2016,2500000,30000,Petrol,Individual,Automatic,Second Owner,15,1998,189,5,9,83.33333333333333
83,Maruti Celerio ZXI MT BSIV,2017,484999,10000,Petrol,Dealer,Manual,First Owner,23,998,67,5,8,48.4999
84,Datsun GO A Petrol,2016,275000,49000,Petrol,Dealer,Manual,First Owner,19,1198,67,5,9,5.612244897959184
85,Maruti Alto 800 VXI BSIV,2016,315000,32000,Petrol,Dealer,Manual,First Owner,24,796,47,5,9,9.84375
86,Maruti Alto 800 LXI BSIV,2016,275000,38000,Petrol,Dealer,Manual,First Owner,24,796,47,5,9,7.2368421052631575
87,Maruti Swift VDI BSIV W ABS,2015,475000,78000,Diesel,Dealer,Manual,First Owner,19,1430,87,5,10,6.089743589743589
88,Hyundai i10 Era 1.1,2012,290000,28000,Petrol,Dealer,Manual,First Owner,19,1086,68,5,13,10.357142857142858
89,Maruti Omni 8 Seater BSIV,2017,280000,32000,Petrol,Dealer,Manual,First Owner,14,796,35,5,8,8.75
90,Maruti Wagon R LXI LPG BSIV,2010,225000,44000,LPG,Dealer,Manual,First Owner,26,998,58,5,15,5.113636363636363
91,Volkswagen Polo 1.2 MPI Comfortline,2015,455000,42000,Petrol,Dealer,Manual,First Owner,16,1198,74,5,10,10.833333333333334
92,Hyundai i10 Magna 1.1L,2015,351000,45000,Petrol,Dealer,Manual,Second Owner,19,1086,68,5,10,7.8
93,Volkswagen Vento Petrol Highline,2012,535000,12000,Petrol,Dealer,Manual,Second Owner,15,1598,103,5,13,44.583333333333336
94,Maruti Zen Estilo LXI BSIII,2009,175000,55500,Petrol,Dealer,Manual,First Owner,18,998,67,5,16,3.1531531531531534
95,Hyundai i20 Asta Optional with Sunroof 1.2,2013,525000,61500,Petrol,Dealer,Manual,First Owner,18,1197,82,5,12,8.536585365853659
96,Maruti Swift Dzire LDI,2016,600000,150000,Diesel,Individual,Manual,First Owner,26,1248,74,5,9,4.0
97,Hyundai Xcent 1.2 Kappa SX Option AT,2016,565000,72000,Petrol,Dealer,Automatic,First Owner,19,1197,82,5,9,7.847222222222222
98,Maruti Alto LX BSIII,2008,120000,68000,Petrol,Dealer,Manual,Third Owner,19,796,46,5,17,1.7647058823529411
99,Hyundai i20 1.4 Asta Option,2017,725000,110000,Diesel,Individual,Manual,First Owner,22,1396,88,5,8,6.590909090909091
100,Maruti Wagon R VXI,2009,185000,77000,Petrol,Dealer,Manual,Second Owner,21,998,67,5,16,2.4025974025974026
101,Tata Manza Aura (ABS) Quadrajet,2010,200000,100000,Diesel,Individual,Manual,Second Owner,18,1248,90,5,15,2.0
102,Maruti Swift VXI,2019,615000,10000,Petrol,Individual,Manual,First Owner,21,1197,81,5,6,61.5
103,Maruti Eeco 7 Seater Standard BSIV,2016,270000,100000,Petrol,Individual,Manual,Third Owner,15,1196,73,7,9,2.7
104,Maruti Baleno Zeta 1.2,2018,610000,35000,Petrol,Individual,Manual,First Owner,21,1197,83,5,7,17.428571428571427
105,Mahindra Scorpio VLX AT AIRBAG BSIV,2014,625000,70000,Diesel,Individual,Automatic,Second Owner,11,2179,120,8,11,8.928571428571429
106,Ford Freestyle Titanium Petrol BSIV,2020,400000,5000,Petrol,Individual,Manual,Second Owner,19,1194,94,5,5,80.0
107,Hyundai Verna VTVT 1.6 SX,2017,866000,37800,Petrol,Individual,Manual,First Owner,17,1591,121,5,8,22.91005291005291
108,Volkswagen Passat 1.8 TSI MT,2010,700000,114000,Petrol,Individual,Manual,First Owner,14,1798,160,5,15,6.140350877192983
109,Tata Indica Vista Aura 1.2 Safire (ABS) BS IV,2010,300000,48000,Petrol,Individual,Manual,First Owner,15,1172,65,5,15,6.25
110,Mahindra XUV500 W11 Option AWD,2019,1700000,32000,Diesel,Individual,Manual,First Owner,15,2179,155,7,6,53.125
111,Tata Indigo CS LS (TDI) BS-III,2016,375000,100000,Diesel,Individual,Manual,First Owner,19,1405,69,5,9,3.75
112,Hyundai Verna 1.6 SX,2013,522000,150000,Diesel,Individual,Manual,Second Owner,22,1582,126,5,12,3.48
113,Hyundai i20 Magna 1.4 CRDi (Diesel),2013,451999,69000,Diesel,Individual,Manual,First Owner,21,1396,88,5,12,6.550710144927536
114,Toyota Corolla Altis G,2009,300000,100000,Petrol,Individual,Manual,Second Owner,14,1798,138,5,16,3.0
115,Maruti Celerio VXI,2020,475000,13000,Petrol,Individual,Manual,First Owner,21,998,67,5,5,36.53846153846154
116,Maruti Vitara Brezza ZDi Plus Dual Tone,2016,780000,60000,Diesel,Individual,Manual,First Owner,24,1248,88,5,9,13.0
117,Maruti Swift Dzire VXI,2017,595000,40000,Petrol,Individual,Manual,First Owner,20,1197,83,5,8,14.875
118,Maruti Wagon R VXI BS IV,2017,440000,35000,Petrol,Individual,Manual,First Owner,20,998,67,5,8,12.571428571428571
119,Maruti Swift VDI BSIV,2010,300000,120000,Diesel,Individual,Manual,Second Owner,19,1430,87,5,15,2.5
120,Nissan Terrano XL 85 PS,2014,400000,70000,Diesel,Individual,Manual,Third Owner,20,1461,83,5,11,5.714285714285714
121,Hyundai Creta 1.6 CRDi SX,2016,1140000,50000,Diesel,Individual,Manual,First Owner,19,1582,126,5,9,22.8
122,Ford EcoSport 1.5 Diesel Titanium Plus BSIV,2017,850000,76139,Diesel,Individual,Manual,First Owner,23,1498,98,5,8,11.163792537333036
123,Maruti Swift Dzire VDi,2012,370000,175000,Diesel,Individual,Manual,Fourth & Above Owner,19,1248,73,5,13,2.1142857142857143
124,Renault KWID 1.0,2018,350000,25000,Petrol,Individual,Manual,First Owner,23,999,67,5,7,14.0
125,Maruti Celerio VXI,2015,360000,40000,Petrol,Individual,Manual,Second Owner,23,998,67,5,10,9.0
126,Maruti Alto LXi,2008,105000,65000,Petrol,Individual,Manual,Fourth & Above Owner,19,796,46,5,17,1.6153846153846154
127,Maruti Ertiga VDI,2013,625000,90000,Diesel,Individual,Manual,Second Owner,20,1248,88,7,12,6.944444444444445
128,Hyundai Santro Xing GLS,2009,135000,80000,Petrol,Individual,Manual,Second Owner,17,1086,62,5,16,1.6875
129,Maruti Ertiga VDI,2015,700000,110000,Diesel,Individual,Manual,Second Owner,20,1248,88,7,10,6.363636363636363
130,Honda Amaze S i-VTEC,2019,690000,1303,Petrol,Dealer,Manual,First Owner,17,1198,86,5,6,529.5471987720645
131,Audi Q5 35TDI Premium Plus,2018,3975000,31800,Diesel,Dealer,Automatic,First Owner,17,1968,188,5,7,125.0
132,Jaguar XF 2.0 Diesel Portfolio,2017,3200000,45000,Diesel,Dealer,Automatic,First Owner,19,1999,177,5,8,71.11111111111111
133,Jeep Wrangler 2016-2019 3.6 4X4,2017,4100000,17000,Petrol,Individual,Automatic,First Owner,9,3604,280,5,8,241.1764705882353
134,Land Rover Discovery Sport TD4 SE,2019,4500000,21000,Diesel,Dealer,Automatic,First Owner,12,1999,148,7,6,214.28571428571428
135,BMW 5 Series 520d Sport Line,2018,3790000,29500,Diesel,Dealer,Automatic,First Owner,22,1995,187,5,7,128.47457627118644
136,BMW X1 sDrive 20D xLine,2017,2150000,27000,Diesel,Dealer,Automatic,First Owner,19,1430,87,5,8,79.62962962962963
137,Skoda Superb LK 1.8 TSI AT,2018,1864999,50000,Petrol,Dealer,Automatic,First Owner,14,1798,177,5,7,37.29998
138,Mercedes-Benz E-Class E250 Edition E,2016,2700000,35000,Diesel,Dealer,Automatic,First Owner,15,2143,204,5,9,77.14285714285714
139,MG Hector Sharp AT BSIV,2019,1750000,19000,Petrol,Dealer,Automatic,First Owner,13,1451,141,5,6,92.10526315789474
140,Honda City i-VTEC CVT VX,2017,795000,41000,Petrol,Dealer,Automatic,First Owner,18,1497,117,5,8,19.390243902439025
141,Toyota Corolla Altis 1.8 G CVT,2013,625000,39000,Petrol,Dealer,Automatic,First Owner,14,1798,138,5,12,16.025641025641026
142,Volvo XC40 D4 R-Design,2018,3400000,22000,Diesel,Dealer,Automatic,First Owner,18,1969,190,5,7,154.54545454545453
143,Audi Q7 35 TDI Quattro Premium,2015,2650000,53000,Diesel,Dealer,Automatic,First Owner,12,2967,241,7,10,50.0
144,Maruti Ciaz ZDi,2015,535000,40000,Diesel,Dealer,Manual,First Owner,26,1248,88,5,10,13.375
145,BMW 5 Series 523i,2010,975000,72200,Petrol,Dealer,Automatic,Second Owner,10,2497,150,5,15,13.504155124653739
146,Hyundai Elantra S,2016,805000,49900,Petrol,Dealer,Manual,First Owner,16,1797,147,5,9,16.132264529058116
147,Jaguar XE 2016-2019 2.0L Diesel Prestige,2017,2625000,9000,Diesel,Dealer,Automatic,First Owner,13,1999,177,5,8,291.6666666666667
148,Tata Nexon 1.2 Revotron XZ Plus Dual Tone,2018,811000,11000,Petrol,Dealer,Manual,First Owner,17,1198,108,5,7,73.72727272727273
149,Volkswagen Vento Petrol Highline,2011,375000,49000,Petrol,Individual,Manual,First Owner,15,1598,103,5,14,7.653061224489796
150,Hyundai Elantra SX,2012,550000,95000,Petrol,Individual,Manual,First Owner,16,1797,147,5,13,5.7894736842105265
151,Skoda Rapid 1.6 MPI AT Elegance,2016,645000,11000,Petrol,Dealer,Automatic,First Owner,14,1598,103,5,9,58.63636363636363
152,Mercedes-Benz CLA 200 CGI Sport,2018,2550000,18000,Petrol,Dealer,Automatic,First Owner,15,1991,183,5,7,141.66666666666666
153,Maruti Ertiga ZXI,2014,599000,46100,Petrol,Dealer,Manual,First Owner,16,1373,93,7,11,12.99349240780911
154,Mercedes-Benz New C-Class C 200 AVANTGARDE,2017,2700000,16000,Petrol,Dealer,Automatic,First Owner,14,1991,181,5,8,168.75
155,Honda City V AT,2017,875000,18000,Petrol,Dealer,Automatic,First Owner,15,1497,116,5,8,48.611111111111114
156,Toyota Glanza V CVT,2019,894999,9654,Petrol,Dealer,Automatic,First Owner,19,1197,81,5,6,92.70758234928527
157,Maruti Alto K10 VXI,2011,175000,11000,Petrol,Dealer,Manual,First Owner,23,998,67,5,14,15.909090909090908
158,Maruti Swift VXI,2012,340000,24300,Petrol,Dealer,Manual,First Owner,21,1197,81,5,13,13.991769547325102
159,Toyota Innova Crysta 2.8 ZX AT BSIV,2016,1525000,42163,Diesel,Dealer,Automatic,Second Owner,11,2755,171,7,9,36.16915304888172
160,Tata Nexon 1.5 Revotorq XZA Plus DualTone,2018,1025000,8000,Diesel,Dealer,Automatic,First Owner,21,1497,108,5,7,128.125
161,BMW 3 Series 320d Luxury Line,2016,2150000,30000,Diesel,Dealer,Automatic,First Owner,22,1995,190,5,9,71.66666666666667
162,Toyota Camry 2.5 Hybrid,2016,1900000,41000,Petrol,Dealer,Automatic,First Owner,19,2494,157,5,9,46.34146341463415
163,BMW 5 Series 520d Luxury Line,2016,2900000,12000,Diesel,Dealer,Automatic,First Owner,18,1995,190,5,9,241.66666666666666
164,Toyota Camry W4 (AT),2009,450000,71000,Petrol,Dealer,Automatic,First Owner,12,2362,164,5,16,6.338028169014085
165,Maruti Ertiga BSIV ZXI Plus,2016,850000,20000,Petrol,Individual,Manual,First Owner,17,1373,91,7,9,42.5
166,Volkswagen Vento Diesel Highline,2011,300000,100000,Diesel,Individual,Manual,Second Owner,20,1598,103,5,14,3.0
167,Ford Figo Aspire 1.2 Ti-VCT Trend,2018,575000,9500,Petrol,Individual,Manual,First Owner,18,1196,86,5,7,60.526315789473685
168,Ford Figo Diesel LXI,2011,160000,120000,Diesel,Individual,Manual,First Owner,20,1399,68,5,14,1.3333333333333333
169,Maruti Swift VXI Optional,2015,515000,36600,Petrol,Individual,Manual,First Owner,20,1197,81,5,10,14.07103825136612
170,Maruti Wagon R AMT VXI,2015,390000,50000,Petrol,Individual,Automatic,Second Owner,20,998,67,5,10,7.8
171,Hyundai i20 Magna 1.2,2016,550000,14000,Petrol,Individual,Manual,Second Owner,18,1197,81,5,9,39.285714285714285
172,Maruti 800 Std,1999,40000,40000,Petrol,Individual,Manual,Second Owner,16,796,37,4,26,1.0
173,Maruti Ritz VDi,2010,220000,120000,Diesel,Individual,Manual,First Owner,21,1248,73,5,15,1.8333333333333333
174,Hyundai Grand i10 Magna,2015,425000,70000,Petrol,Individual,Manual,First Owner,18,1197,82,5,10,6.071428571428571
175,Volkswagen Ameo 1.0 MPI Trendline,2019,480000,13000,Petrol,Individual,Manual,First Owner,19,999,75,5,6,36.92307692307692
176,Hyundai Grand i10 Sportz,2014,400000,60000,Petrol,Individual,Manual,Second Owner,18,1197,82,5,11,6.666666666666667
177,Maruti Swift Dzire VXI,2014,487000,35000,Petrol,Individual,Manual,First Owner,19,1197,85,5,11,13.914285714285715
178,Hyundai Xcent 1.2 Kappa S,2016,386000,44000,Petrol,Individual,Manual,Second Owner,19,1197,82,5,9,8.772727272727273
179,Honda City 1.5 EXI,2005,100000,120000,Petrol,Individual,Manual,Second Owner,13,1493,100,5,20,0.8333333333333334
180,Toyota Corolla Altis Diesel D4DG,2010,300000,60000,Diesel,Individual,Manual,First Owner,21,1364,87,5,15,5.0
181,Daewoo Matiz SD,2000,100000,60000,Petrol,Individual,Manual,First Owner,18,796,53,5,25,1.6666666666666667
182,Toyota Fortuner 4x2 Manual,2014,1750000,30000,Diesel,Individual,Manual,Second Owner,13,2982,168,7,11,58.333333333333336
183,Mahindra KUV 100 mFALCON G80 K8,2016,450000,15000,Petrol,Individual,Manual,Second Owner,18,1198,82,6,9,30.0
184,Tata Zest Quadrajet 1.3 75PS XM,2017,490000,90000,Diesel,Individual,Manual,First Owner,22,1248,74,5,8,5.444444444444445
185,Honda City 1.5 S MT,2009,345000,47000,Petrol,Individual,Manual,Second Owner,17,1497,118,5,16,7.340425531914893
186,Maruti Zen LXI,2005,85000,90000,Petrol,Individual,Manual,First Owner,17,993,60,5,20,0.9444444444444444
187,Maruti Wagon R VXI BS IV with ABS,2010,215000,120600,Petrol,Individual,Manual,Second Owner,18,998,67,5,15,1.7827529021558872
188,Hyundai Verna Transform SX VTVT,2010,320000,100000,Petrol,Individual,Manual,Third Owner,16,1599,103,5,15,3.2
189,Maruti Swift Dzire VXI,2016,459999,60000,Petrol,Individual,Manual,Second Owner,20,1197,83,5,9,7.66665
190,Hyundai Getz GLS,2005,65000,86000,Petrol,Individual,Manual,First Owner,15,1341,83,5,20,0.7558139534883721
191,Hyundai Elite i20 Sportz Plus BSIV,2020,720000,5000,Petrol,Individual,Manual,First Owner,18,1197,81,5,5,144.0
192,Maruti Ciaz 1.3 Alpha,2017,800000,37000,Diesel,Individual,Manual,First Owner,28,1248,88,5,8,21.62162162162162
193,Tata Tigor 1.2 Revotron XZ,2019,520000,14000,Petrol,Individual,Manual,First Owner,20,1199,84,5,6,37.142857142857146
194,Maruti Ertiga VDI,2015,580000,70000,Diesel,Individual,Manual,First Owner,20,1248,88,7,10,8.285714285714286
195,Toyota Etios GD,2012,235000,120000,Diesel,Individual,Manual,First Owner,19,1430,87,5,13,1.9583333333333333
196,Honda City i VTEC S,2015,600000,50000,Petrol,Individual,Manual,First Owner,17,1497,117,5,10,12.0
197,Honda Brio S MT,2014,290000,60000,Petrol,Individual,Manual,Second Owner,19,1198,86,5,11,4.833333333333333
198,Maruti Wagon R LXI CNG,2016,360000,50000,CNG,Individual,Manual,First Owner,26,998,58,5,9,7.2
199,Maruti Swift Dzire VXI,2017,550000,50000,Petrol,Individual,Manual,First Owner,20,1197,83,5,8,11.0
200,Hyundai i20 Sportz 1.2,2013,375000,70000,Petrol,Individual,Manual,First Owner,18,1197,82,5,12,5.357142857142857
201,Maruti Omni E 8 Str STD,2003,40000,90000,Petrol,Individual,Manual,Second Owner,19,1430,87,5,22,0.4444444444444444
202,Maruti Wagon R AMT VXI,2018,420000,35000,Petrol,Individual,Automatic,First Owner,20,998,67,5,7,12.0
203,Maruti Swift Dzire VXI 1.2,2017,550000,20000,Petrol,Individual,Manual,First Owner,21,1197,81,5,8,27.5
204,Maruti Alto 800 LXI,2018,270000,20000,Petrol,Individual,Manual,First Owner,24,796,47,5,7,13.5
205,Maruti Swift Dzire AMT VXI BS IV,2018,700000,7800,Petrol,Individual,Automatic,First Owner,22,1197,81,5,7,89.74358974358974
206,Maruti Swift VXI Optional,2017,500000,20000,Petrol,Individual,Manual,First Owner,20,1197,81,5,8,25.0
207,Tata Hexa XE,2019,1250000,15000,Diesel,Individual,Manual,First Owner,17,2179,147,7,6,83.33333333333333
208,Hyundai i20 Magna,2013,320000,31377,Petrol,Individual,Manual,Second Owner,18,1197,82,5,12,10.198553080281735
209,Maruti Swift Dzire VDI,2018,700000,50000,Diesel,Individual,Manual,First Owner,28,1248,74,5,7,14.0
210,Maruti Wagon R VXI BS IV,2015,290000,60000,Petrol,Individual,Manual,First Owner,20,998,67,5,10,4.833333333333333
211,Toyota Corolla Altis 1.8 VL AT,2012,550000,100000,Petrol,Individual,Automatic,First Owner,14,1794,138,5,13,5.5
212,Honda Brio S MT,2012,265000,60000,Petrol,Individual,Manual,First Owner,19,1198,86,5,13,4.416666666666667
